,text,label
147,Здравствуйте меня зовут Оля  Имя вымышленное,1
148,Люди не всегда были рядом со мной но музыка всегда была и будет,1
149,желая начать разговор с кемто но имея страх что ты им мешаешь ,1
150,Говоря людям ты устал когда на самом деле ты просто грустный,1
151,Здравствуйте мне  лет Довольно  небольшая цифра для суицида но я решилась на это по веским на то причинам Начну с начала,1
152,Знаете жизнь так достала,1
153,  Я каждый день думаю как мне покончить жизнь самоубийством,1
154,все кто хочет поговорить о наболевшем пишите сюда Будем помогать друг другу и заряжать позитивом   ,1
155,Хочу найти любовь,1
156,я запуталась мне нужно разобраться в себе надоело все чувствую себя неудачницей,1
157,  Мой отчим очень часто выпивает Иногда доходило до драк Мы с мамой не можем уйти собственной квартиры нету Я не могу так жить падаю духом,1
158,Всем привет  ,1
159,Все что я говорю неправильно все что я делаю неправильно,1
160,Здравствуйте Мне  и мне очень плохо Прошу учесть то что я  еще подросток не значит  что я не могу чувствовать себя невыносимо  плохо ,1
161,Мой личный поиск привел меня именно этому вопросу Просто говорю что мне понятно,1
162,Возможно это будет лишь писк комарика,1
163,  Мы с мамой уже  недели не разговариваем Совесть не позволяет мне покончить собой А вторая моя часть наоборот вся чёрствая хочет смерти,1
164,Разместила Nadiya с Пережитьру,1
165,Мне конец я задолжал много денег помогите мне я теряю  семью жену и ребенкаПросто один раз проигрол ,1
166,ты когданибудь просто сидишь и понимаешь что ни для кого ничего не значишь и начинаешь чувствовать себя дерьмом и нежеланным,1
167,  У меня проблемы  с учебой И если меня отчислят можно сказать жизни пока ведь без образования ты никто,1
168,Жутко боюсь общаться с людьми заводить новые контакты,1
169,Тем временем осенняя депрессия превращается в элегантный осенний запой,1
170,Я девушка которая притворяется что слова людей не причиняют мне боль просто чтобы они не знали насколько я чувствительна,1
171,Всем здравствуйте ,1
172,Мне а я уже разочаровалась в жизни,1
173,У меня по всем предметам оценка у меня нет будущего  ,1
174,Когда я говорю «со мной все в порядке» я хочу чтобы ктото посмотрел мне в глаза крепко обнял меня и сказал «Я знаю что это не так»,1
175,С вашим форумом знаком очень давно все искал в себе силы рассказать вам о себе в надежде что вы можете мне помочь я очень нуждаюсь в этом,1
176,Я даже больше не понимаю себя,1
177,Мне  лет последнее время часто посещают мысли о суициде Совершенно не умею общаться с людьми друзей нет окружающие относятся как к отшельнику ,1
178,Я просто хочу умеретьЧто тут не естественноГосударство ничтоВсе упрекаютРаботы нетВесь больной год,1
179,Мама не пойметменя никто не пойметвернее понятьта поймута помочь не смогут депрессия,1
180,Меня преследуют суицидальные мысли после самоубийства другого человека,1
181,У меня умер парень Я хочу к нему,1
182,Я так боюсь говорить неправильные вещи что я все время молчу,1
183,Здравствуйте часто бывают суицидные настроения мысли о смерти,1
184,ПрошупомогитеЧитать будет многоно прошу откликнитесь,1
185,Мне  летПол года назад вышла замуж но брак ка мне кажется сейчас неудачный совсем,1
186,Мне нужен ваш совет,1
187,  Мы вместе были четыре года Позже я узнал что была ещё измена Я практически не сплю Ничего не хочу ни пить ни есть ни жить,1
188,не все шрамы показывают не все раны заживают иногда вы не всегда можете видеть боль которую ктото чувствует,1
189,У меня жизнь хуже ада мне  лет я полюбила  летнего и очень пожелела об этом  после он узнал что я его ,1
190,Случилась беда большая рассудок туманится страшноВолнуясь за сына боюсь не выдержать сама,1
191,Буду благодарна всем кто прочитает и ответит…Извините что много написала…,1
192,Всем здравствуйте  суицид в моих мыслях постоянно  с кл это все началось  расскажу о себе,1
193,Не забудьте сказать «Я люблю тебя» людям в вашей жизни которые имеют значение Жизнь не гарантирует что шанс снова придет,1
194,  Он поливает меня грязью а когда они разбегаются пишет снова Я не могу дальше жить Я и не живу Я никому не верю и молюсь о смерти,1
195,Я хочу умереть я потеряла свойсмысл жизни,1
196,Понимаю что ничего плохого вроде бы нет и что я слабачка и только и могу что ныть Но будущего ,1
197,Меня зовут мне  лет,1
198,Мне все еще больно,1
199,На репите NEROCKSTAR  Депрессия by  и  СОВЕТУЮ ВСЕМ ПОСЛУШАТЬ НЕ ПОЖАЛЕЕТЕ kaz kzmusic,1
200,Больше нет силЯ усталаХочу умереть,1
201,  Я не хочу жить Но у меня дочь  лет больше меня абсолютно ничего не держит Я хочу дать ей хороший пример а сил нет совсем,1
202,Меня бросил парень Стоит ли еще чтонибудь говорить ,1
203,Неумею разговаривать с людьмино все же,1
204,Привет я ответил на твой дм  lt ,1
205,  От меня ушла невеста я потерял смысл жизни Хочу покончить с собой не хватает больше сил жить,1
206,Мне очень нравиться один молодой человекно у него уже есть девушкакоторую он любитВместе они  годаЯ устала постоянно изнурять себя мыслями о ,1
207,Измениться ли чтото если я убью себя,1
208,У меня рак и пожизненное лечение до первой прогрессии год назад потеряла самого родного и любимого человека не знаю как жить дальше,1
209,когда вы боретесь с психическим заболеванием вы боретесь в тихой битве Никто не видит как тяжело тебе постоянно бороться,1
210,От меня отвернулись все ,1
211,Я часто испытываю ненависть ко всем людям и даже,1
212,Всем привет с чего начатьмне одинокоили мне нравится одиночество Мои родные знают это и иногда мельком говорят ты же не ,1
213,Хорошо Все чёрт возьми прямо сейчас и всё идет не так Здорово Отлично Потрясающие Удивительно Невероятный tg,1
214,Устала от всего Сил уже никаких не осталось Хочу уйти из жизни,1
215,Я из Молдавии плохо пишу по русски но постараюсьЯ живу с родителям ужа почти  месНикто сомной не говоритя хочу покончить с собой,1
216,Мне Слишком все поздно У меня не было отношений с девушкамине было половой жизни ,1
217,Когда вы боролись так долго вы не помните жизни без своих демонов BPD  Депрессия SuicidalThoughts MentalIllness,1
218,  Меня обижают изза веса который я не могу скинуть как бы не пыталась Что я делаю не так Изза разных причин я наношу себе раны,1
219,  Отец меня очень любит старается все сделать Но я своё будущее просто уничтожил Не вижу смысла продолжать это жалкое существование,1
220,  Хочу умереть устала от себя от своего ужасного тела и души,1
221,Доброго времени суток всем посетителям данного сайта,1
222,Шаг Время Не знаю,1
223,Всем привет Вот выписал все про себя то что думаю Хочу услышать ваше мнение как с этим бороться Надоело все доталого,1
224,Приветствую,1
225,Здравствуйте мне больше некуда обратиться и я боюсь что наложу на себя рукиизвините за ошибкиРусский не родной мой язык,1
226,Родители ругаются мы переезжаем в Москву все мои друзья уже не общаются со мной мальчик которого люблю я меня разлюбил,1
227,Самое большое в жизни  найти когото кто знает все о тебе о твоих ошибках и сожалениях и все же они все же находят в тебе лучшее,1
228,Я была до конца уверена что перейду его порог по ЕГЭ по математике Но как оказалось я слишком тупа для этого,1
229,У меня проблема Я хочу убивать людей это не выходит у меня из головы разьедает мне мозги,1
230,Иногда жизнь не хочет дать вам то что вы хотите не потому что вы этого не заслуживаете а потому что вы заслуживаете большего,1
231,Здравствуйте меня зовут Андрей мне летпроблема моя заключается в том что у меня уже года нет работыУ меня есть жена замечательный сынок,1
232,Я не хочу жить ,1
233,На самом деле я очень хочу жить люблю жизни и дорожу ей Но к сожалению два года назад я прекратила жить и начала существовать,1
234,Здравствуйте Меня зовут Мария Мне  лет ,1
235,  Я не знаю как справляться с мыслями о суициде Мне не хочется больше жить ведь дальше меня ждет ещё больше трудностей,1
236,Я уйду навсегдахочешь,1
237,С утра ужасное настроениеНе просто плохое а УЖАСНОЕ,1
238,помогитесил больше жить нет,1
239,Не знаю с чего начатьПрочтите до концаесли не трудно ,1
240,Сегодня утром я поняла что больше так жить нельзя Хватит ,1
241,Меня снова заменили как всегда,1
242,  Он променял меня на другую везде заблокировал меня даже возможности поговорить с ним у меня нет Мне хочется умереть,1
243,Потеряла работу Страдаю агорафобией За эту работу только потому и держалась что благодаря ей могла хоть кудато перемещаться ,1
244,  Я чувствую себя ненужной Все мною недовольны а жить для себя тоже не вариант Никто не догадывается о моих планах о самоубийстве,1
245,ЗдравствуйтеКажется у меня паранойя маниакальнодепрессивный психоз или чтото в этом родеБоже даже не знаю может я перфекционист,1
246,Мне всего лишь  лета уже о суициде думаютолько думаюнамерений пока нету,1
247,Не игнорьте меня обидно депрессия,1
248,  Я думаю как покончить жизнь Мне надоело сидеть дома Я кроме школы и дома ничего не вижу,1
249,я всегда должен повторять себе что быть в одиночестве  это нормально но иногда я плачу и страстно желаю чтобы ктото меня удержал,1
250,Некоторые люди собираются уходить но это не конец вашей истории Это конец их роли в твоей истории,1
251,Меня никто не имеет право судить,1
252,Мамы больше нет,1
253,Нучто сказать Устроены так люди,1
254,Люди помогитеЯ не понимаючто со мнойу меня мысли странныеменя уже третий раз мучает навязщивая мысль умеретьчто можно сделать,1
255,Наверное сколько себя помню никогда не понимал зачем живу зачем чтото нужно и что делаю,1
256,Наверно в условиях кризиса таких историй масса но,1
257,Привет у меня история такова с начала года я пропустил две недели учебы на тот мамент страха некакаво не было школа и ,1
258,  Лучше бы я утонул вместо него чтобы не испытывать эту боль внутри чувство вины Это разрушило меня и мою жизнь Я много раз пытался убить себя,1
259,Не хочу ничего делатьхочу спатьменя все раздражает депрессия веснапришла,1
260,Правда  не такая важная вещь чтобы ее скрыватьdepression депрессия Грусть Боль,1
261,мне  лет ,1
262,Я уже писал сюда вот моя история  ,1
263,Я уйду с линии в течение следующих  часов затем я вернусь я перезвоню всем вам Люблю тебя всех  lt ,1
264,Два месяца назад у меня было все Несмотря на то что всю жизнь я прикован к инвалидному креслу я был самый счастливый человек,1
265,Я стою на краю пропасти,1
266,Почему мой отец ненавидит меня cq,1
267,Можете ли вы вообще помочь случайному человекупрохожему,1
268,Что делать если я наивная я уже порезала себе руки,1
269,Открытое письмо об одиночестве  KqOrGiYee,1
270,  Я всерьез задумываюсь о самоубийстве Все вокруг знают и умеют жить а мне как будто забыли дать инструкцию по жизни Я никому не интересна,1
271,Я ТАК ТОЖЕ НЕ МОГУ,1
272,Я люблю свою лучшую подругу Не смотря на все говно которое происходит во кругТы всегда рядомЯ люблю тебяdepression депрессия Грусть боль,1
273,Отношения с детьми,1
274,Помогите пожалуйста Я не знаю что делать Я правда потерян,1
275,Всё было хорошо целых  лет  но потом когда мама нашла нового папу  у меня было очень много проблем я уже себе смерти желаю,1
276,Мне  я ненавижу перспективу жизни как у все  работа дом магазин Сдохнуть хочется от этого Не хочу жить обыденной жизнью,1
277, Здравствуйте ,1
278,мне не везет в жизни с самого детства я просто ,1
279,Здравствуйте Помогите мне пожалуйста,1
280,Добрый день ,1
281,веселая депрессия D,1
282,Ее лицо улыбается но ее глаза выражают боль,1
283,Я хочу пончить жизнь самоубийством потому что меня не навидят в е родные муж не понимает сын не признает и я для всех обуза,1
284,Я готова любые беды пережитьвсе на светедавайте я с вами поменяюсья на все согласна Я только ЖИТЬ ХОЧУ,1
285,Влюбился в девушку в интернете моя первая любовь и не думал даже что можно так сильно через интернет влюбиться и она тоже полюбила меня,1
286,Крик души или состояние тупикане знаю,1
287,Здравствуйтедавно читаю этот сайти вот сама пишу сюда,1
288,Приветменя все достало этот кризис в миреродственникии это тупая любовья живу с тётей в съёмной квартире родители в разводе мама ,1
289,Мне  лет Меня зовут Рита У меня умерла мама Я не могу с этим смериться Что мне делать,1
290,Мне  лет До   успешен Много работал платил алименты на двоих детей исправно,1
291,  Мне кажется уже порой что проще уйти самой чем переживать это каждый день Сил нет уже жить когда твое тело стало твоей клеткой,1
292,Без работы я уже  месяцев и просвета не видно Это  ,1
293,помогите мне пожалуйста,1
294,Наверное очень грешна И молитвы мои не доходят к Богу ,1
295,Живу по правилу третий лишнийdullknife депрессия грусть боль,1
296,Всем привет  у меня такая история меня все ругают на работе  м дома тоже  я просто хочу уйти из этой жизни ,1
297,Не вижу выхода и не знаю возможно ли найти новые цели и причины жить,1
298,Меня не устраивает любое продолжение жизни которое может случится Зачем жить,1
299,  Мне  Я люблю одну девушку а она меня нет Иногда переживания доводят меня до суицидального состояния,1
300,Будьте осторожны с тем кому вы открыты на самом деле это волнует лишь немногих остальные просто хотят чтото сплетничать,1
301,Села на Гидазепам Сил больше нет Если перестаю пить эту гадость  косо смотрю на нож и вены на руках,1
302,Ужасное занятие  дождливая погода  грустная песня  плохое настроение ТТ,1
